query,true_domain,original_pred_domain,corrected_pred_domain,true_intent,original_pred_intent,corrected_pred_intent,true_endpoint,original_pred_endpoint,corrected_pred_endpoint,true_parameters,original_pred_parameters,corrected_pred_parameters,true_ontology,original_pred_ontology,corrected_pred_ontology,llm_ontology_domain_correct,llm_ontology_intent_correct,llm_ontology_endpoint_correct,llm_ontology_parameter_correct,llm_ontology_ontology_correct,llm_ontology_end_to_end_correct,ontology_validation_valid,has_hallucination,has_missing_parameters,ontology_inconsistent,missing_parameters,hallucinated_parameters
What's the weather like in Istanbul right now?,Weather,Weather,Weather,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,/weather/current,city=Istanbul,location=Istanbul,city=Istanbul,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,True,True,True,True,True,True,True,False,False,False,,
Tell me the current weather conditions in Tokyo.,Weather,Weather,Weather,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,/weather/current,city=Tokyo,location=Tokyo,city=Tokyo,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,True,True,True,True,True,True,True,False,False,False,,
Give me a weather update for London today.,Weather,Weather,Weather,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,/weather/current,city=London,location=London;date=today,city=London;date=today,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,True,True,True,True,True,True,False,True,False,True,,date
Show the present weather in Paris.,Weather,Weather,Weather,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,/weather/current,city=Paris,location=Paris,city=Paris,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,True,True,True,True,True,True,True,False,False,False,,
"Current weather in New York, please.",Weather,Weather,Weather,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,/weather/current,city=New York,location=New York,city=New York,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,True,True,True,True,True,True,True,False,False,False,,
How is the weather feeling in Dubai at the moment?,Weather,Weather,Weather,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,/weather/current,city=Dubai,location=Dubai,city=Dubai,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,True,True,True,True,True,True,True,False,False,False,,
"Can you check the weather around Berlin before I go out, using celsius?",Weather,Weather,Weather,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,/weather/current,city=Berlin;unit=celsius,location=Berlin;unit=celsius,city=Berlin;unit=celsius,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,True,True,True,True,True,True,True,False,False,False,,
I need a quick weather read for Sydney.,Weather,Weather,Weather,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,/weather/current,city=Sydney,location=Sydney,city=Sydney,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,True,True,True,True,True,True,True,False,False,False,,
Can you check the sky conditions around Moscow?,Weather,Weather,Weather,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,/weather/current,city=Moscow,location=Moscow,city=Moscow,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,True,True,True,True,True,True,True,False,False,False,,
"Before I head out in Toronto, what is it like outside, using fahrenheit?",Weather,Weather,Weather,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,/weather/current,city=Toronto;unit=fahrenheit,location=Toronto;unit=fahrenheit,city=Toronto;unit=fahrenheit,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,True,True,True,True,True,True,True,False,False,False,,
Do I need a jacket if I am going out in Singapore now?,Weather,Weather,Weather,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,/weather/current,city=Singapore,location=Singapore;time=now,city=Singapore;time=now,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,True,True,True,True,True,True,False,True,False,True,,time
Give me a quick read on conditions around Amsterdam.,Weather,Weather,Weather,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,/weather/current,city=Amsterdam,location=Amsterdam,city=Amsterdam,GetCurrentWeather,GetCurrentWeather,GetCurrentWeather,True,True,True,True,True,True,True,False,False,False,,
What is the weather forecast for Istanbul on tomorrow?,Weather,Weather,Weather,GetForecast,GetForecast,GetForecast,/weather/forecast,/weather/forecast,/weather/forecast,city=Istanbul;date=tomorrow,location=Istanbul;date=tomorrow,city=Istanbul;date=tomorrow,GetForecast,GetForecast,GetForecast,True,True,True,True,True,True,True,False,False,False,,
Show me the forecast for Paris for Friday.,Weather,Weather,Weather,GetForecast,GetForecast,GetForecast,/weather/forecast,/weather/forecast,/weather/forecast,city=Paris;date=Friday,location=Paris;date=Friday,city=Paris;date=Friday,GetForecast,GetForecast,GetForecast,True,True,True,True,True,True,True,False,False,False,,
