query,true_domain,pred_domain,true_intent,pred_intent,true_endpoint,pred_endpoint,true_parameters,pred_parameters,true_ontology,pred_ontology,domain_correct,intent_correct,endpoint_correct,parameter_correct,ontology_correct,full_correct
What's the weather like in Istanbul right now?,Weather,Weather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,city=Istanbul,city=Istanbul,GetCurrentWeather,GetCurrentWeather,True,True,True,True,True,True
Tell me the current weather conditions in Tokyo.,Weather,Weather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,city=Tokyo,city=Tokyo,GetCurrentWeather,GetCurrentWeather,True,True,True,True,True,True
Give me a weather update for London today.,Weather,Unknown,GetCurrentWeather,Unknown,/weather/current,Unknown,city=London,,GetCurrentWeather,Unknown,False,False,False,False,False,False
Show the present weather in Paris.,Weather,Unknown,GetCurrentWeather,Unknown,/weather/current,Unknown,city=Paris,,GetCurrentWeather,Unknown,False,False,False,False,False,False
"Current weather in New York, please.",Weather,Weather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,city=New York,city=New York,GetCurrentWeather,GetCurrentWeather,True,True,True,True,True,True
How is the weather feeling in Dubai at the moment?,Weather,Unknown,GetCurrentWeather,Unknown,/weather/current,Unknown,city=Dubai,,GetCurrentWeather,Unknown,False,False,False,False,False,False
"Can you check the weather around Berlin before I go out, using celsius?",Weather,Weather,GetCurrentWeather,GetTemperature,/weather/current,/weather/temperature,city=Berlin;unit=celsius,city=Berlin;unit=celsius,GetCurrentWeather,GetTemperature,True,False,False,True,False,False
I need a quick weather read for Sydney.,Weather,Unknown,GetCurrentWeather,Unknown,/weather/current,Unknown,city=Sydney,,GetCurrentWeather,Unknown,False,False,False,False,False,False
Can you check the sky conditions around Moscow?,Weather,Unknown,GetCurrentWeather,Unknown,/weather/current,Unknown,city=Moscow,,GetCurrentWeather,Unknown,False,False,False,False,False,False
"Before I head out in Toronto, what is it like outside, using fahrenheit?",Weather,Weather,GetCurrentWeather,GetTemperature,/weather/current,/weather/temperature,city=Toronto;unit=fahrenheit,city=Toronto;unit=fahrenheit,GetCurrentWeather,GetTemperature,True,False,False,True,False,False
Do I need a jacket if I am going out in Singapore now?,Weather,Unknown,GetCurrentWeather,Unknown,/weather/current,Unknown,city=Singapore,,GetCurrentWeather,Unknown,False,False,False,False,False,False
Give me a quick read on conditions around Amsterdam.,Weather,Unknown,GetCurrentWeather,Unknown,/weather/current,Unknown,city=Amsterdam,,GetCurrentWeather,Unknown,False,False,False,False,False,False
What is the weather forecast for Istanbul on tomorrow?,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Istanbul;date=tomorrow,city=Istanbul;date=tomorrow,GetForecast,GetForecast,True,True,True,True,True,True
Show me the forecast for Paris for Friday.,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Paris;date=Friday,city=Paris;date=Friday,GetForecast,GetForecast,True,True,True,True,True,True
Will it rain or snow in London on next Monday?,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=London;date=next Monday,city=London;date=next Monday,GetForecast,GetForecast,True,True,True,True,True,True
Give me the weather forecast for Barcelona on Saturday.,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Barcelona;date=Saturday,city=Barcelona;date=Saturday,GetForecast,GetForecast,True,True,True,True,True,True
What will the weather be like in New York 2026-06-20 in celsius?,Weather,Weather,GetForecast,GetTemperature,/weather/forecast,/weather/temperature,city=New York;date=2026-06-20;unit=celsius,city=New York;unit=celsius,GetForecast,GetTemperature,True,False,False,False,False,False
Check the forecasted conditions in Vienna for December 25.,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Vienna;date=December 25,city=Vienna;date=UNKNOWN,GetForecast,GetForecast,True,True,True,False,True,False
I am planning around Dubai on next Thursday; get the forecast.,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Dubai;date=next Thursday,city=Dubai;date=next Thursday,GetForecast,GetForecast,True,True,True,True,True,True
