query,matched_query,similarity_score,true_domain,pred_domain,true_intent,pred_intent,true_endpoint,pred_endpoint,true_parameters,pred_parameters,true_ontology,pred_ontology,domain_correct,intent_correct,endpoint_correct,parameter_correct,ontology_correct,full_correct
What's the weather like in Istanbul right now?,What is the temperature in Istanbul right now?,0.8823465704917908,Weather,Weather,GetCurrentWeather,GetTemperature,/weather/current,/weather/temperature,city=Istanbul,city=Istanbul,GetCurrentWeather,GetTemperature,True,False,False,True,False,False
Tell me the current weather conditions in Tokyo.,Give me the temperature reading in Mumbai.,0.6136527061462402,Weather,Weather,GetCurrentWeather,GetTemperature,/weather/current,/weather/temperature,city=Tokyo,city=Tokyo,GetCurrentWeather,GetTemperature,True,False,False,True,False,False
Give me a weather update for London today.,Will it rain or snow in London on next Monday?,0.7107539772987366,Weather,Weather,GetCurrentWeather,GetForecast,/weather/current,/weather/forecast,city=London,city=London;date=today,GetCurrentWeather,GetForecast,True,False,False,True,False,False
Show the present weather in Paris.,Show me the forecast for Paris for Friday.,0.7599520683288574,Weather,Weather,GetCurrentWeather,GetForecast,/weather/current,/weather/forecast,city=Paris,city=Paris;date=UNKNOWN,GetCurrentWeather,GetForecast,True,False,False,True,False,False
"Current weather in New York, please.",What will the weather be like in New York 2026-06-20 in celsius?,0.7491786479949951,Weather,Weather,GetCurrentWeather,GetForecast,/weather/current,/weather/forecast,city=New York,city=New York;date=UNKNOWN,GetCurrentWeather,GetForecast,True,False,False,True,False,False
How is the weather feeling in Dubai at the moment?,I am planning around Dubai on next Thursday; get the forecast.,0.663082480430603,Weather,Weather,GetCurrentWeather,GetForecast,/weather/current,/weather/forecast,city=Dubai,city=Dubai;date=UNKNOWN,GetCurrentWeather,GetForecast,True,False,False,True,False,False
"Can you check the weather around Berlin before I go out, using celsius?",Can you check the sky conditions around Moscow?,0.5771687030792236,Weather,Weather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,city=Berlin;unit=celsius,city=Berlin;unit=celsius,GetCurrentWeather,GetCurrentWeather,True,True,True,True,True,True
I need a quick weather read for Sydney.,Do you have a forecast for Sydney on June 25 in fahrenheit?,0.691629946231842,Weather,Weather,GetCurrentWeather,GetForecast,/weather/current,/weather/forecast,city=Sydney,city=Sydney;date=UNKNOWN,GetCurrentWeather,GetForecast,True,False,False,True,False,False
Can you check the sky conditions around Moscow?,"Can you check the weather around Berlin before I go out, using celsius?",0.5771687030792236,Weather,Weather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,city=Moscow,city=Moscow,GetCurrentWeather,GetCurrentWeather,True,True,True,True,True,True
"Before I head out in Toronto, what is it like outside, using fahrenheit?",How cold is the temperature in Helsinki at the moment?,0.5662075281143188,Weather,Weather,GetCurrentWeather,GetTemperature,/weather/current,/weather/temperature,city=Toronto;unit=fahrenheit,city=Toronto;unit=fahrenheit,GetCurrentWeather,GetTemperature,True,False,False,True,False,False
Do I need a jacket if I am going out in Singapore now?,Do I need a coat in Lisbon today in celsius?,0.5208946466445923,Weather,Weather,GetCurrentWeather,GetTemperature,/weather/current,/weather/temperature,city=Singapore,city=Singapore,GetCurrentWeather,GetTemperature,True,False,False,True,False,False
Give me a quick read on conditions around Amsterdam.,Check the wind conditions in Amsterdam for me.,0.7568279504776001,Weather,Weather,GetCurrentWeather,GetWindSpeed,/weather/current,/weather/wind,city=Amsterdam,city=Amsterdam,GetCurrentWeather,GetWindSpeed,True,False,False,True,False,False
What is the weather forecast for Istanbul on tomorrow?,What is the temperature in Istanbul right now?,0.8244955539703369,Weather,Weather,GetForecast,GetTemperature,/weather/forecast,/weather/temperature,city=Istanbul;date=tomorrow,city=Istanbul,GetForecast,GetTemperature,True,False,False,False,False,False
Show me the forecast for Paris for Friday.,Show the present weather in Paris.,0.7599520683288574,Weather,Weather,GetForecast,GetCurrentWeather,/weather/forecast,/weather/current,city=Paris;date=Friday,city=Paris,GetForecast,GetCurrentWeather,True,False,False,False,False,False
Will it rain or snow in London on next Monday?,Give me a weather update for London today.,0.7107539772987366,Weather,Weather,GetForecast,GetCurrentWeather,/weather/forecast,/weather/current,city=London;date=next Monday,city=London,GetForecast,GetCurrentWeather,True,False,False,False,False,False
Give me the weather forecast for Barcelona on Saturday.,Give me a weather update for London today.,0.5923318266868591,Weather,Weather,GetForecast,GetCurrentWeather,/weather/forecast,/weather/current,city=Barcelona;date=Saturday,city=Barcelona,GetForecast,GetCurrentWeather,True,False,False,False,False,False
What will the weather be like in New York 2026-06-20 in celsius?,"Current weather in New York, please.",0.7491786479949951,Weather,Weather,GetForecast,GetCurrentWeather,/weather/forecast,/weather/current,city=New York;date=2026-06-20;unit=celsius,city=New York;unit=celsius,GetForecast,GetCurrentWeather,True,False,False,False,False,False
Check the forecasted conditions in Vienna for December 25.,Do you have a forecast for Sydney on June 25 in fahrenheit?,0.5614827275276184,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Vienna;date=December 25,city=Vienna;date=UNKNOWN,GetForecast,GetForecast,True,True,True,False,True,False
I am planning around Dubai on next Thursday; get the forecast.,How is the weather feeling in Dubai at the moment?,0.663082480430603,Weather,Weather,GetForecast,GetCurrentWeather,/weather/forecast,/weather/current,city=Dubai;date=next Thursday,city=Dubai,GetForecast,GetCurrentWeather,True,False,False,False,False,False
Do you have a forecast for Sydney on June 25 in fahrenheit?,I need a quick weather read for Sydney.,0.691629946231842,Weather,Weather,GetForecast,GetCurrentWeather,/weather/forecast,/weather/current,city=Sydney;date=June 25;unit=fahrenheit,city=Sydney;unit=fahrenheit,GetForecast,GetCurrentWeather,True,False,False,False,False,False
Do you think Rome gets storms on next Wednesday?,Will it rain or snow in London on next Monday?,0.5109332799911499,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Rome;date=next Wednesday,city=Rome;date=next Wednesday,GetForecast,GetForecast,True,True,True,True,True,True
Check whether Miami looks cold or warm on Sunday.,Do you have a forecast for Sydney on June 25 in fahrenheit?,0.430194616317749,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Miami;date=Sunday,city=Miami;date=Sunday,GetForecast,GetForecast,True,True,True,True,True,True
Should I pack an umbrella for Moscow on New Year's Eve?,Can you check the sky conditions around Moscow?,0.4892804026603699,Weather,Weather,GetForecast,GetCurrentWeather,/weather/forecast,/weather/current,city=Moscow;date=New Year's Eve,city=Moscow,GetForecast,GetCurrentWeather,True,False,False,False,False,False
"For my plans in Lisbon on July 4, do I need indoor backup?",Do I need a coat in Lisbon today in celsius?,0.524988055229187,Weather,Weather,GetForecast,GetTemperature,/weather/forecast,/weather/temperature,city=Lisbon;date=July 4,city=Lisbon,GetForecast,GetTemperature,True,False,False,False,False,False
What's the air quality in Beijing today?,Give me the current air quality readings for Shanghai.,0.8290077447891235,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Beijing,city=Beijing,GetAirQuality,GetAirQuality,True,True,True,True,True,True
