query,true_domain,pred_domain,true_intent,pred_intent,true_endpoint,pred_endpoint,true_parameters,pred_parameters,true_ontology,pred_ontology,domain_correct,intent_correct,endpoint_correct,parameter_correct,ontology_correct,full_correct
What's the weather like in Istanbul right now?,Weather,Weather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,city=Istanbul,location=Istanbul,GetCurrentWeather,GetCurrentWeather,True,True,True,False,True,False
Tell me the current weather conditions in Tokyo.,Weather,Weather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,city=Tokyo,location=Tokyo,GetCurrentWeather,GetCurrentWeather,True,True,True,False,True,False
Give me a weather update for London today.,Weather,Weather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,city=London,location=London;date=today,GetCurrentWeather,GetCurrentWeather,True,True,True,False,True,False
Show the present weather in Paris.,Weather,Weather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,city=Paris,location=Paris,GetCurrentWeather,GetCurrentWeather,True,True,True,False,True,False
"Current weather in New York, please.",Weather,Weather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,city=New York,location=New York,GetCurrentWeather,GetCurrentWeather,True,True,True,False,True,False
How is the weather feeling in Dubai at the moment?,Weather,Weather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,city=Dubai,location=Dubai,GetCurrentWeather,GetCurrentWeather,True,True,True,False,True,False
"Can you check the weather around Berlin before I go out, using celsius?",Weather,Weather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,city=Berlin;unit=celsius,location=Berlin;unit=celsius,GetCurrentWeather,GetCurrentWeather,True,True,True,False,True,False
I need a quick weather read for Sydney.,Weather,Weather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,city=Sydney,location=Sydney,GetCurrentWeather,GetCurrentWeather,True,True,True,False,True,False
Can you check the sky conditions around Moscow?,Weather,Weather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,city=Moscow,location=Moscow,GetCurrentWeather,GetCurrentWeather,True,True,True,False,True,False
"Before I head out in Toronto, what is it like outside, using fahrenheit?",Weather,Weather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,city=Toronto;unit=fahrenheit,location=Toronto;unit=fahrenheit,GetCurrentWeather,GetCurrentWeather,True,True,True,False,True,False
Do I need a jacket if I am going out in Singapore now?,Weather,Weather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,city=Singapore,location=Singapore;time=now,GetCurrentWeather,GetCurrentWeather,True,True,True,False,True,False
Give me a quick read on conditions around Amsterdam.,Weather,Weather,GetCurrentWeather,GetCurrentWeather,/weather/current,/weather/current,city=Amsterdam,location=Amsterdam,GetCurrentWeather,GetCurrentWeather,True,True,True,False,True,False
What is the weather forecast for Istanbul on tomorrow?,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Istanbul;date=tomorrow,location=Istanbul;date=tomorrow,GetForecast,GetForecast,True,True,True,False,True,False
Show me the forecast for Paris for Friday.,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Paris;date=Friday,location=Paris;date=Friday,GetForecast,GetForecast,True,True,True,False,True,False
Will it rain or snow in London on next Monday?,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=London;date=next Monday,location=London;date=next Monday,GetForecast,GetForecast,True,True,True,False,True,False
Give me the weather forecast for Barcelona on Saturday.,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Barcelona;date=Saturday,location=Barcelona;date=Saturday,GetForecast,GetForecast,True,True,True,False,True,False
What will the weather be like in New York 2026-06-20 in celsius?,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=New York;date=2026-06-20;unit=celsius,location=New York;date=2026-06-20;unit=celsius,GetForecast,GetForecast,True,True,True,False,True,False
Check the forecasted conditions in Vienna for December 25.,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Vienna;date=December 25,location=Vienna;date=2023-12-25,GetForecast,GetForecast,True,True,True,False,True,False
I am planning around Dubai on next Thursday; get the forecast.,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Dubai;date=next Thursday,location=Dubai;date=next Thursday,GetForecast,GetForecast,True,True,True,False,True,False
Do you have a forecast for Sydney on June 25 in fahrenheit?,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Sydney;date=June 25;unit=fahrenheit,location=Sydney;date=June 25;unit=fahrenheit,GetForecast,GetForecast,True,True,True,False,True,False
Do you think Rome gets storms on next Wednesday?,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Rome;date=next Wednesday,location=Rome;date=next Wednesday,GetForecast,GetForecast,True,True,True,False,True,False
Check whether Miami looks cold or warm on Sunday.,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Miami;date=Sunday,location=Miami;date=Sunday,GetForecast,GetForecast,True,True,True,False,True,False
Should I pack an umbrella for Moscow on New Year's Eve?,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Moscow;date=New Year's Eve,location=Moscow;date=New Year's Eve,GetForecast,GetForecast,True,True,True,False,True,False
"For my plans in Lisbon on July 4, do I need indoor backup?",Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Lisbon;date=July 4,location=Lisbon;date=July 4,GetForecast,GetForecast,True,True,True,False,True,False
What's the air quality in Beijing today?,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Beijing,location=Beijing;date=today,GetAirQuality,GetAirQuality,True,True,True,False,True,False
Can you check the AQI for Delhi?,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Delhi,location=Delhi,GetAirQuality,GetAirQuality,True,True,True,False,True,False
Show me the air quality and pollution level in Zurich right now.,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Zurich,location=Zurich,GetAirQuality,GetAirQuality,True,True,True,False,True,False
Give me the current air quality readings for Shanghai.,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Shanghai,location=Shanghai,GetAirQuality,GetAirQuality,True,True,True,False,True,False
Fetch the air quality index for Los Angeles.,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Los Angeles,location=Los Angeles,GetAirQuality,GetAirQuality,True,True,True,False,True,False
How is the AQI looking in Seoul?,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Seoul,location=Seoul,GetAirQuality,GetAirQuality,True,True,True,False,True,False
Is the air quality in Cairo safe for a run?,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Cairo,location=Cairo,GetAirQuality,GetAirQuality,True,True,True,False,True,False
Tell me the air quality and pollution situation around Mexico City.,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Mexico City,location=Mexico City,GetAirQuality,GetAirQuality,True,True,True,False,True,False
Should someone sensitive avoid outdoor exercise in São Paulo?,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=São Paulo,location=Sao Paulo;time=UNKNOWN,GetAirQuality,GetAirQuality,True,True,True,False,True,False
How breathable is it outside in Jakarta?,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Jakarta,location=Jakarta,GetAirQuality,GetAirQuality,True,True,True,False,True,False
Would a mask be sensible outdoors in Karachi today?,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Karachi,location=Karachi;date=UNKNOWN,GetAirQuality,GetAirQuality,True,True,True,False,True,False
Is it a good day for children to play outside in Bangkok?,Weather,Weather,GetAirQuality,GetCurrentWeather,/weather/air-quality,/weather/current,city=Bangkok,location=Bangkok;date=UNKNOWN,GetAirQuality,GetCurrentWeather,True,False,False,False,False,False
What is the temperature in Istanbul right now?,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Istanbul,location=Istanbul;time=UNKNOWN,GetTemperature,GetTemperature,True,True,True,False,True,False
Show me the current temperature for Phoenix in fahrenheit.,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Phoenix;unit=fahrenheit,location=Phoenix;unit=fahrenheit,GetTemperature,GetTemperature,True,True,True,False,True,False
"What is the temperature in Reykjavik today, in celsius?",Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Reykjavik;unit=celsius,location=Reykjavik;unit=celsius,GetTemperature,GetTemperature,True,True,True,False,True,False
How cold is the temperature in Helsinki at the moment?,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Helsinki,location=Helsinki;time=UNKNOWN,GetTemperature,GetTemperature,True,True,True,False,True,False
Give me the temperature reading in Mumbai.,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Mumbai,location=Mumbai,GetTemperature,GetTemperature,True,True,True,False,True,False
What temperature should I expect in Buenos Aires now?,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Buenos Aires,location=Buenos Aires;time=now,GetTemperature,GetTemperature,True,True,True,False,True,False
Is the temperature in Nairobi hot or cold today?,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Nairobi,location=Nairobi;date=UNKNOWN,GetTemperature,GetTemperature,True,True,True,False,True,False
Check the temperature outside in Riyadh.,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Riyadh,location=Riyadh,GetTemperature,GetTemperature,True,True,True,False,True,False
Do I need a coat in Lisbon today in celsius?,Weather,Weather,GetTemperature,GetCurrentWeather,/weather/temperature,/weather/current,city=Lisbon;unit=celsius,location=Lisbon;unit=celsius,GetTemperature,GetCurrentWeather,True,False,False,False,False,False
Is Cape Town chilly right now?,Weather,Weather,GetTemperature,GetCurrentWeather,/weather/temperature,/weather/current,city=Cape Town,location=Cape Town;temperature=UNKNOWN,GetTemperature,GetCurrentWeather,True,False,False,False,False,False
"Can I dress lightly in Oslo this afternoon, in fahrenheit?",Weather,Weather,GetTemperature,GetCurrentWeather,/weather/temperature,/weather/current,city=Oslo;unit=fahrenheit,location=Oslo;unit=fahrenheit,GetTemperature,GetCurrentWeather,True,False,False,False,False,False
"Before I go out in Kuala Lumpur, should I expect it to feel warm?",Weather,Weather,GetTemperature,GetCurrentWeather,/weather/temperature,/weather/current,city=Kuala Lumpur,location=Kuala Lumpur;temperature=UNKNOWN,GetTemperature,GetCurrentWeather,True,False,False,False,False,False
What is the wind speed in Chicago right now?,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Chicago,location=Chicago,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Check the wind conditions in Amsterdam for me.,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Amsterdam,location=Amsterdam,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
How strong are the winds in Wellington today?,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Wellington,location=Wellington;date=today,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Is it windy in Dublin at the moment?,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Dublin,location=Dublin;time=UNKNOWN,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Give me the wind report for Copenhagen.,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Copenhagen,location=Copenhagen,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
What are the wind conditions around Casablanca now?,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Casablanca,location=Casablanca,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Tell me the wind speed before I cycle in Edinburgh.,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Edinburgh,location=Edinburgh,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Is the wind in Honolulu strong enough to affect sailing?,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Honolulu,location=Honolulu;strength=UNKNOWN,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Tell me if Doha has strong gusts right now.,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Doha,location=Doha;strength=UNKNOWN,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Are outdoor tables likely to blow around in Bali?,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Bali,location=Bali;time=UNKNOWN,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Should I avoid a kite lesson in Marseille today?,Weather,Weather,GetWindSpeed,GetCurrentWeather,/weather/wind,/weather/current,city=Marseille,location=Marseille;date=today,GetWindSpeed,GetCurrentWeather,True,False,False,False,False,False
Will it feel calm enough for a waterfront walk in Lisbon?,Weather,Weather,GetWindSpeed,GetCurrentWeather,/weather/wind,/weather/current,city=Lisbon,location=Lisbon;time=UNKNOWN,GetWindSpeed,GetCurrentWeather,True,False,False,False,False,False
Find flights from London to Paris on June 25.,Travel,Travel,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,from=London;to=Paris;date=June 25,from=London;to=Paris;date=June 25,SearchFlight,SearchFlight,True,True,True,True,True,True
