query,domain,intent,endpoint,parameters,ontology_concept
What's the weather like in Istanbul right now?,Weather,GetCurrentWeather,/weather/current,city=Istanbul,GetCurrentWeather
Tell me the current weather conditions in Tokyo.,Weather,GetCurrentWeather,/weather/current,city=Tokyo,GetCurrentWeather
Give me a weather update for London today.,Weather,GetCurrentWeather,/weather/current,city=London,GetCurrentWeather
Show the present weather in Paris.,Weather,GetCurrentWeather,/weather/current,city=Paris,GetCurrentWeather
"Current weather in New York, please.",Weather,GetCurrentWeather,/weather/current,city=New York,GetCurrentWeather
How is the weather feeling in Dubai at the moment?,Weather,GetCurrentWeather,/weather/current,city=Dubai,GetCurrentWeather
"Can you check the weather around Berlin before I go out, using celsius?",Weather,GetCurrentWeather,/weather/current,city=Berlin;unit=celsius,GetCurrentWeather
I need a quick weather read for Sydney.,Weather,GetCurrentWeather,/weather/current,city=Sydney,GetCurrentWeather
Can you check the sky conditions around Moscow?,Weather,GetCurrentWeather,/weather/current,city=Moscow,GetCurrentWeather
"Before I head out in Toronto, what is it like outside, using fahrenheit?",Weather,GetCurrentWeather,/weather/current,city=Toronto;unit=fahrenheit,GetCurrentWeather
Do I need a jacket if I am going out in Singapore now?,Weather,GetCurrentWeather,/weather/current,city=Singapore,GetCurrentWeather
Give me a quick read on conditions around Amsterdam.,Weather,GetCurrentWeather,/weather/current,city=Amsterdam,GetCurrentWeather
What is the weather forecast for Istanbul on tomorrow?,Weather,GetForecast,/weather/forecast,city=Istanbul;date=tomorrow,GetForecast
Show me the forecast for Paris for Friday.,Weather,GetForecast,/weather/forecast,city=Paris;date=Friday,GetForecast
Will it rain or snow in London on next Monday?,Weather,GetForecast,/weather/forecast,city=London;date=next Monday,GetForecast
Give me the weather forecast for Barcelona on Saturday.,Weather,GetForecast,/weather/forecast,city=Barcelona;date=Saturday,GetForecast
What will the weather be like in New York 2026-06-20 in celsius?,Weather,GetForecast,/weather/forecast,city=New York;date=2026-06-20;unit=celsius,GetForecast
Check the forecasted conditions in Vienna for December 25.,Weather,GetForecast,/weather/forecast,city=Vienna;date=December 25,GetForecast
I am planning around Dubai on next Thursday; get the forecast.,Weather,GetForecast,/weather/forecast,city=Dubai;date=next Thursday,GetForecast
Do you have a forecast for Sydney on June 25 in fahrenheit?,Weather,GetForecast,/weather/forecast,city=Sydney;date=June 25;unit=fahrenheit,GetForecast
Do you think Rome gets storms on next Wednesday?,Weather,GetForecast,/weather/forecast,city=Rome;date=next Wednesday,GetForecast
Check whether Miami looks cold or warm on Sunday.,Weather,GetForecast,/weather/forecast,city=Miami;date=Sunday,GetForecast
Should I pack an umbrella for Moscow on New Year's Eve?,Weather,GetForecast,/weather/forecast,city=Moscow;date=New Year's Eve,GetForecast
"For my plans in Lisbon on July 4, do I need indoor backup?",Weather,GetForecast,/weather/forecast,city=Lisbon;date=July 4,GetForecast
What's the air quality in Beijing today?,Weather,GetAirQuality,/weather/air-quality,city=Beijing,GetAirQuality
Can you check the AQI for Delhi?,Weather,GetAirQuality,/weather/air-quality,city=Delhi,GetAirQuality
Show me the air quality and pollution level in Zurich right now.,Weather,GetAirQuality,/weather/air-quality,city=Zurich,GetAirQuality
Give me the current air quality readings for Shanghai.,Weather,GetAirQuality,/weather/air-quality,city=Shanghai,GetAirQuality
Fetch the air quality index for Los Angeles.,Weather,GetAirQuality,/weather/air-quality,city=Los Angeles,GetAirQuality
How is the AQI looking in Seoul?,Weather,GetAirQuality,/weather/air-quality,city=Seoul,GetAirQuality
Is the air quality in Cairo safe for a run?,Weather,GetAirQuality,/weather/air-quality,city=Cairo,GetAirQuality
Tell me the air quality and pollution situation around Mexico City.,Weather,GetAirQuality,/weather/air-quality,city=Mexico City,GetAirQuality
Should someone sensitive avoid outdoor exercise in São Paulo?,Weather,GetAirQuality,/weather/air-quality,city=São Paulo,GetAirQuality
How breathable is it outside in Jakarta?,Weather,GetAirQuality,/weather/air-quality,city=Jakarta,GetAirQuality
Would a mask be sensible outdoors in Karachi today?,Weather,GetAirQuality,/weather/air-quality,city=Karachi,GetAirQuality
Is it a good day for children to play outside in Bangkok?,Weather,GetAirQuality,/weather/air-quality,city=Bangkok,GetAirQuality
What is the temperature in Istanbul right now?,Weather,GetTemperature,/weather/temperature,city=Istanbul,GetTemperature
Show me the current temperature for Phoenix in fahrenheit.,Weather,GetTemperature,/weather/temperature,city=Phoenix;unit=fahrenheit,GetTemperature
"What is the temperature in Reykjavik today, in celsius?",Weather,GetTemperature,/weather/temperature,city=Reykjavik;unit=celsius,GetTemperature
How cold is the temperature in Helsinki at the moment?,Weather,GetTemperature,/weather/temperature,city=Helsinki,GetTemperature
Give me the temperature reading in Mumbai.,Weather,GetTemperature,/weather/temperature,city=Mumbai,GetTemperature
What temperature should I expect in Buenos Aires now?,Weather,GetTemperature,/weather/temperature,city=Buenos Aires,GetTemperature
Is the temperature in Nairobi hot or cold today?,Weather,GetTemperature,/weather/temperature,city=Nairobi,GetTemperature
Check the temperature outside in Riyadh.,Weather,GetTemperature,/weather/temperature,city=Riyadh,GetTemperature
Do I need a coat in Lisbon today in celsius?,Weather,GetTemperature,/weather/temperature,city=Lisbon;unit=celsius,GetTemperature
Is Cape Town chilly right now?,Weather,GetTemperature,/weather/temperature,city=Cape Town,GetTemperature
"Can I dress lightly in Oslo this afternoon, in fahrenheit?",Weather,GetTemperature,/weather/temperature,city=Oslo;unit=fahrenheit,GetTemperature
"Before I go out in Kuala Lumpur, should I expect it to feel warm?",Weather,GetTemperature,/weather/temperature,city=Kuala Lumpur,GetTemperature
What is the wind speed in Chicago right now?,Weather,GetWindSpeed,/weather/wind,city=Chicago,GetWindSpeed
Check the wind conditions in Amsterdam for me.,Weather,GetWindSpeed,/weather/wind,city=Amsterdam,GetWindSpeed
How strong are the winds in Wellington today?,Weather,GetWindSpeed,/weather/wind,city=Wellington,GetWindSpeed
Is it windy in Dublin at the moment?,Weather,GetWindSpeed,/weather/wind,city=Dublin,GetWindSpeed
Give me the wind report for Copenhagen.,Weather,GetWindSpeed,/weather/wind,city=Copenhagen,GetWindSpeed
What are the wind conditions around Casablanca now?,Weather,GetWindSpeed,/weather/wind,city=Casablanca,GetWindSpeed
Tell me the wind speed before I cycle in Edinburgh.,Weather,GetWindSpeed,/weather/wind,city=Edinburgh,GetWindSpeed
Is the wind in Honolulu strong enough to affect sailing?,Weather,GetWindSpeed,/weather/wind,city=Honolulu,GetWindSpeed
Tell me if Doha has strong gusts right now.,Weather,GetWindSpeed,/weather/wind,city=Doha,GetWindSpeed
Are outdoor tables likely to blow around in Bali?,Weather,GetWindSpeed,/weather/wind,city=Bali,GetWindSpeed
Should I avoid a kite lesson in Marseille today?,Weather,GetWindSpeed,/weather/wind,city=Marseille,GetWindSpeed
Will it feel calm enough for a waterfront walk in Lisbon?,Weather,GetWindSpeed,/weather/wind,city=Lisbon,GetWindSpeed
Find flights from London to Paris on June 25.,Travel,SearchFlight,/travel/flights/search,from=London;to=Paris;date=June 25,SearchFlight
Search for a flight leaving New York for Tokyo on July 10.,Travel,SearchFlight,/travel/flights/search,from=New York;to=Tokyo;date=July 10,SearchFlight
Show available flights from Dubai to Bali on August 1.,Travel,SearchFlight,/travel/flights/search,from=Dubai;to=Bali;date=August 1,SearchFlight
What flights go from Istanbul to Berlin on next Friday?,Travel,SearchFlight,/travel/flights/search,from=Istanbul;to=Berlin;date=next Friday,SearchFlight
Look up flight options between Sydney and Singapore for September 15.,Travel,SearchFlight,/travel/flights/search,from=Sydney;to=Singapore;date=September 15,SearchFlight
I need a flight from Toronto to Mexico City on 2026-07-04.,Travel,SearchFlight,/travel/flights/search,from=Toronto;to=Mexico City;date=2026-07-04,SearchFlight
Which flight can take me from Cairo to Rome on Monday?,Travel,SearchFlight,/travel/flights/search,from=Cairo;to=Rome;date=Monday,SearchFlight
Check flight connections from Amsterdam to Seoul on June 30.,Travel,SearchFlight,/travel/flights/search,from=Amsterdam;to=Seoul;date=June 30,SearchFlight
What routes are available from Johannesburg to Nairobi on December 20?,Travel,SearchFlight,/travel/flights/search,from=Johannesburg;to=Nairobi;date=December 20,SearchFlight
Can you check connections from Madrid to Buenos Aires on October 5?,Travel,SearchFlight,/travel/flights/search,from=Madrid;to=Buenos Aires;date=October 5,SearchFlight
